-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    vllm/v1/engine/core.py(1709): process_input_sockets         0.01%       2.242ms        20.00%        4.794s        4.794s       0.000us         0.00%       0.000us       0.000us             1  
                           zmq/sugar/poll.py(106): poll         0.01%       1.308ms         0.01%       1.308ms       1.308ms       0.000us         0.00%       0.000us       0.000us             1  
                              tqdm/_monitor.py(69): run         0.00%      20.940us        60.00%       14.382s        4.794s       0.000us         0.00%       0.000us       0.000us             3  
                                threading.py(359): wait        18.36%        4.401s        58.36%       13.990s        4.663s       0.000us         0.00%       0.000us       0.000us             3  
     vllm/usage/usage_lib.py(173): _report_usage_worker         0.00%       0.862us        20.00%        4.794s        4.794s       0.000us         0.00%       0.000us       0.000us             1  
vllm/usage/usage_lib.py(255): _report_continuous_usa...        20.00%        4.794s        20.00%        4.794s        4.794s       0.000us         0.00%       0.000us       0.000us             1  
                                  <string>(1): <module>         0.00%       1.002us        20.00%        4.794s        4.794s       0.000us         0.00%        1.184s        1.184s             1  
              multiprocessing/spawn.py(122): spawn_main         0.00%       1.082us        20.00%        4.794s        4.794s       0.000us         0.00%        1.184s        1.184s             1  
                   multiprocessing/spawn.py(135): _main         0.00%       0.992us        20.00%        4.794s        4.794s       0.000us         0.00%        1.184s        1.184s             1  
            multiprocessing/process.py(314): _bootstrap         0.00%       2.545us        20.00%        4.794s        4.794s       0.000us         0.00%        1.184s        1.184s             1  
                   multiprocessing/process.py(108): run         0.00%       1.663us        20.00%        4.794s        4.794s       0.000us         0.00%        1.184s        1.184s             1  
          vllm/v1/engine/core.py(1339): run_engine_core         0.00%       1.052us        20.00%        4.794s        4.794s       0.000us         0.00%        1.184s        1.184s             1  
vllm/v1/fault_tolerance/engine_core_sentinel.py(179)...         0.00%       0.431us        20.00%        4.794s        4.794s       0.000us         0.00%        1.184s        1.184s             1  
            vllm/v1/engine/core.py(1379): run_busy_loop         0.00%     328.792us        20.00%        4.794s        4.794s       0.000us         0.00%        1.184s        1.184s             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 23.971s
Self CUDA time total: 4.759s

